sample_id,category,system_id,display_label,protocol_id,protocol_label,candidate_stage,compiled,compile_status,compile_failure_class,attempts_used,repair_attempted,reference_pdf,reference_sha256,candidate_pdf,candidate_sha256,metric_source_csv,metric_source_evidence_json,metric_v2_status,strict_word_f1,compatibility_word_f1,number_f1,operator_f1,citation_f1,matched_word_reference_coverage,token_center_displacement_q90,block_transport_combined_similarity,text_ltsim_page_macro,reading_order_tau,style_coverage_hmean,unregistered_ink_f1,unregistered_ssim,page_count_delta,page_break_f1,canvas_exact_size_rate
03_math_inline_display_001,03_math_inline_display,gemini_first_pass,Gemini 3.1 Flash Lite — first pass,gemini_prompt_v1_first_pass,source-only prompt v1; first compiler attempt; no repair credited,attempt_1,False,failed,unknown_symbol_or_function,1,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,5731afa107744553691db144b976ffdbddcda8888d8e45fac220998d01f4b7ef,,,,,not_scored_uncompiled,,,,,,,,,,,,,,,,
03_math_inline_display_001,03_math_inline_display,gemini_after_one_repair,Gemini 3.1 Flash Lite — after ≤1 repair,gemini_prompt_v1_after_one_compiler_repair,source-only prompt v1; first attempt plus at most one compiler-error repair,no_compiled_pdf,False,failed,unknown_symbol_or_function,2,True,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,5731afa107744553691db144b976ffdbddcda8888d8e45fac220998d01f4b7ef,,,,,not_scored_uncompiled,,,,,,,,,,,,,,,,
03_math_inline_display_001,03_math_inline_display,pandoc,Pandoc,deterministic_pandoc_as_tested,deterministic archived engine output; executable version not recorded,as_tested_output,True,compiled,,,,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,5731afa107744553691db144b976ffdbddcda8888d8e45fac220998d01f4b7ef,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_001/pandoc.pdf,120c3c97286782f6d995fbfd7a2093b1bef0ae772e721b97d49bde3ee636bcca,results/metric_research_v2/scorecards/engine_metric_v2/metric_v2_scores.csv,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_001__pandoc.json,scored,0.4715909090909091,0.5852272727272727,0.704225352112676,0.8333333333333333,1.0,0.5508021390374331,0.2219162260205434,0.5117195130223022,0.6822372727751539,0.632183908045977,0.5852272727272727,0.18149486181979452,,0,1.0,0.0
03_math_inline_display_001,03_math_inline_display,tylax,Tylax,deterministic_tylax_as_tested,deterministic archived engine output; executable version not recorded,as_tested_output,False,failed,conversion=ok;compile=failed,,,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,5731afa107744553691db144b976ffdbddcda8888d8e45fac220998d01f4b7ef,,,,,not_scored_uncompiled,,,,,,,,,,,,,,,,
03_math_inline_display_001,03_math_inline_display,typetex,TypeTeX,deterministic_typetex_as_tested,deterministic archived engine output; executable version not recorded,as_tested_output,True,compiled,,,,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_001/reference.pdf,5731afa107744553691db144b976ffdbddcda8888d8e45fac220998d01f4b7ef,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_001/typetex.pdf,1f82831bf83d6bdfeb3654233545bd0a7bb99cf6fee358cb9844a401146b97d9,results/metric_research_v2/scorecards/engine_metric_v2/metric_v2_scores.csv,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_001__typetex.json,scored,0.4793388429752066,0.6005509641873278,0.8474576271186441,0.8571428571428572,1.0,0.5828877005347594,0.22953871703108397,0.5104799352063647,0.6780752599096999,0.8554621848739495,0.6005509641873278,0.13785936261298853,,0,1.0,0.0
03_math_inline_display_002,03_math_inline_display,gemini_first_pass,Gemini 3.1 Flash Lite — first pass,gemini_prompt_v1_first_pass,source-only prompt v1; first compiler attempt; no repair credited,attempt_1,False,failed,unknown_symbol_or_function,1,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,92cecbc77c250648bc8c6daeb0acfe5be590182922603476840486f8e3afe24d,,,,,not_scored_uncompiled,,,,,,,,,,,,,,,,
03_math_inline_display_002,03_math_inline_display,gemini_after_one_repair,Gemini 3.1 Flash Lite — after ≤1 repair,gemini_prompt_v1_after_one_compiler_repair,source-only prompt v1; first attempt plus at most one compiler-error repair,no_compiled_pdf,False,failed,unknown_symbol_or_function,2,True,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,92cecbc77c250648bc8c6daeb0acfe5be590182922603476840486f8e3afe24d,,,,,not_scored_uncompiled,,,,,,,,,,,,,,,,
03_math_inline_display_002,03_math_inline_display,pandoc,Pandoc,deterministic_pandoc_as_tested,deterministic archived engine output; executable version not recorded,as_tested_output,True,compiled,,,,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,92cecbc77c250648bc8c6daeb0acfe5be590182922603476840486f8e3afe24d,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_002/pandoc.pdf,dd8059de1c2f88273f930695762460cd3132b3f7c81ea857b1bc4968e721dd60,results/metric_research_v2/scorecards/engine_metric_v2/metric_v2_scores.csv,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_002__pandoc.json,scored,0.48223350253807107,0.5989847715736041,0.8,0.9577464788732395,1.0,0.5592417061611374,0.21186389679478806,0.5328817476848283,0.6899800560986792,0.8733333333333333,0.5989847715736041,0.16901086336551224,,0,1.0,0.0
03_math_inline_display_002,03_math_inline_display,tylax,Tylax,deterministic_tylax_as_tested,deterministic archived engine output; executable version not recorded,as_tested_output,False,failed,conversion=ok;compile=failed,,,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,92cecbc77c250648bc8c6daeb0acfe5be590182922603476840486f8e3afe24d,,,,,not_scored_uncompiled,,,,,,,,,,,,,,,,
03_math_inline_display_002,03_math_inline_display,typetex,TypeTeX,deterministic_typetex_as_tested,deterministic archived engine output; executable version not recorded,as_tested_output,True,compiled,,,,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_002/reference.pdf,92cecbc77c250648bc8c6daeb0acfe5be590182922603476840486f8e3afe24d,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_002/typetex.pdf,7d49c104f73b6c396e1688ab1b77d7fa7a5175f1e7b033bb0405158654edfb2b,results/metric_research_v2/scorecards/engine_metric_v2/metric_v2_scores.csv,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_002__typetex.json,scored,0.48346055979643765,0.5648854961832062,0.75,0.9577464788732395,1.0,0.5260663507109005,0.23111431980756336,0.5409651524428617,0.6990574272581841,0.8733333333333333,0.5648854961832062,0.1411879548747908,,0,1.0,0.0
03_math_inline_display_003,03_math_inline_display,gemini_first_pass,Gemini 3.1 Flash Lite — first pass,gemini_prompt_v1_first_pass,source-only prompt v1; first compiler attempt; no repair credited,attempt_1,True,compiled,,1,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,9e20c9b4de678212c5da4a7e6d6b34f1e6c342f0223fe0f9964c358799604ddc,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_003/output.pdf,48411b332c005e988f935e846b2fd35376424fbbb4cfce6b9c8f328f03738f02,results/metric_research_v2/gemini_frozen_156/metric_v2_scores.csv,results/metric_research_v2/gemini_frozen_156/evidence/03_math_inline_display_003.json,scored,0.4891304347826087,0.6358695652173912,0.9354838709677419,0.9419354838709677,1.0,0.585,0.19219133926736068,0.5305795951747523,0.677820553094245,0.7915966386554621,0.6358695652173912,0.1619292664719212,,0,1.0,0.0
03_math_inline_display_003,03_math_inline_display,gemini_after_one_repair,Gemini 3.1 Flash Lite — after ≤1 repair,gemini_prompt_v1_after_one_compiler_repair,source-only prompt v1; first attempt plus at most one compiler-error repair,attempt_1,True,compiled,,1,False,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,9e20c9b4de678212c5da4a7e6d6b34f1e6c342f0223fe0f9964c358799604ddc,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v1_heldout_clean/samples/03_math_inline_display_003/output.pdf,48411b332c005e988f935e846b2fd35376424fbbb4cfce6b9c8f328f03738f02,results/metric_research_v2/gemini_frozen_156/metric_v2_scores.csv,results/metric_research_v2/gemini_frozen_156/evidence/03_math_inline_display_003.json,scored,0.4891304347826087,0.6358695652173912,0.9354838709677419,0.9419354838709677,1.0,0.585,0.19219133926736068,0.5305795951747523,0.677820553094245,0.7915966386554621,0.6358695652173912,0.1619292664719212,,0,1.0,0.0
03_math_inline_display_003,03_math_inline_display,pandoc,Pandoc,deterministic_pandoc_as_tested,deterministic archived engine output; executable version not recorded,as_tested_output,True,compiled,,,,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_003/reference.pdf,9e20c9b4de678212c5da4a7e6d6b34f1e6c342f0223fe0f9964c358799604ddc,results/latex_benchmark_v0/03_math_inline_display/03_math_inline_display_003/pandoc.pdf,d37fb84a4c9db66b8dbe82c380cc9c81dcfd6d9c321a9345c33dc2ea611c6121,results/metric_research_v2/scorecards/engine_metric_v2/metric_v2_scores.csv,results/metric_research_v2/scorecards/engine_metric_v2/evidence/03_math_inline_display_003__pandoc.json,scored,0.4332493702770781,0.5743073047858941,0.8823529411764706,0.9182389937106917,1.0,0.57,0.20256603153235633,0.5154972278201667,0.6830992013812314,0.8114942528735632,0.5743073047858941,0.19139213298221125,,0,1.0,0.0
