sample_id,candidate,label,state,scorecard_status,reference_pdf,candidate_pdf,source_artifact,reference_pages,candidate_pages,token_precision,token_recall,layout,typography,appearance_proxy,pagination,near_boxes,moved_boxes,far_or_page_boxes,missing_boxes,extra_boxes,failed_gates,review_flags,report_page
03_math_inline_display_004,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,fail,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/03_math_inline_display_004/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/03_math_inline_display_004/output.pdf,1,1,0.7718120805369127,0.6460674157303371,0.6051808768926769,0.8647023991983601,0.10732425289565088,0.6922935471690443,0,5,110,84,49,token_precision;token_recall,numeric_token_mismatch;low_page_sequence_alignment;appearance_layout_disagreement,3
03_math_inline_display_004,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,failed,unavailable,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,,harness/runs/03_math_inline_display_004__1turn__sonnet__base/output.typ,,,,,,,,,,,,,,compile,,4
03_math_inline_display_004,claude_opus_4_7,Claude Opus 4.7 - one-turn low,ok,fail,data/latex_benchmark_v0/corpus/03_math_inline_display/03_math_inline_display_004/reference.pdf,temporary compiled PDF embedded in report,harness/runs/03_math_inline_display_004__1turn__opus__base/output.typ,1,1,0.7733333333333333,0.651685393258427,0.688687495683484,0.8738868662876667,0.2029696143425919,0.6981453622328277,2,31,83,83,49,token_precision;token_recall,numeric_token_mismatch;low_page_sequence_alignment;appearance_layout_disagreement,5
04_math_aligned_014,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,fail,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/04_math_aligned_014/output.pdf,2,1,0.8385650224215246,0.700374531835206,0.4704970706873051,0.828385937022022,0.11184732736239765,0.3301238928794781,3,5,179,123,69,token_precision;token_recall;page_count,numeric_token_mismatch;low_page_sequence_alignment;appearance_layout_disagreement,6
04_math_aligned_014,claude_sonnet_4_6,Claude Sonnet 4.6 - one-turn low,ok,fail,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,temporary compiled PDF embedded in report,harness/runs/04_math_aligned_014__1turn__sonnet__base/output.typ,2,1,0.84375,0.7078651685393258,0.5782883119025277,0.8436180240394652,0.10338691904768674,0.33025564677059366,0,100,89,121,66,token_precision;token_recall;page_count,numeric_token_mismatch;low_page_sequence_alignment;appearance_layout_disagreement,7
04_math_aligned_014,claude_opus_4_7,Claude Opus 4.7 - one-turn low,ok,fail,data/latex_benchmark_v0/corpus/04_math_aligned/04_math_aligned_014/reference.pdf,temporary compiled PDF embedded in report,harness/runs/04_math_aligned_014__1turn__opus__base/output.typ,2,1,0.8392857142857143,0.704119850187266,0.5606943882994412,0.8453876358347203,0.14923366963345397,0.33514391965212653,0,47,141,122,67,token_precision;token_recall;page_count,numeric_token_mismatch;low_page_sequence_alignment;appearance_layout_disagreement,8
05_tables_simple_005,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,fail,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_005/output.pdf,2,3,0.9354838709677419,0.9618573797678275,0.23190848185660612,0.6508207224316958,0.09529592232533161,0.5466154738927843,0,7,573,23,40,token_precision;page_count,numeric_token_mismatch;low_page_sequence_alignment,9
05_tables_simple_005,claude_sonnet_4_6,Claude Sonnet 4.6 - agentic v1 visual low,ok,review,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,temporary compiled PDF embedded in report,harness/runs/05_tables_simple_005__visual__sonnet__qlow/work/output.typ,2,2,1.0,0.9950248756218906,0.7241003707911167,0.8745584418473151,0.5615720125393352,0.9806828745079877,32,335,233,3,0,,numeric_token_mismatch,10
05_tables_simple_005,claude_opus_4_7,Claude Opus 4.7 - agentic v3 visual medium,ok,review,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_005/reference.pdf,temporary compiled PDF embedded in report,harness/runs/05_tables_simple_005__visual__opus__v3run_v3/best_checkpoint.typ,2,2,1.0,0.9966832504145937,0.851973936681708,0.9002441080732347,0.6912469019304672,0.9880410129647514,217,376,8,2,0,,numeric_token_mismatch,11
05_tables_simple_021,gemini_3_1_flash_lite,Gemini 3.1 Flash Lite - one-turn cascade,ok,fail,data/latex_benchmark_v0/corpus/05_tables_simple/05_tables_simple_021/reference.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,results/ai_latex_to_typst/openrouter/google_gemini-3.1-flash-lite/prompt_v0/samples/05_tables_simple_021/output.pdf,3,2,0.8071216617210683,0.9395509499136442,0.24614763722158223,0.6742155634023145,0.1594126389359944,0.5487243066023143,1,5,538,143,289,token_precision;token_recall;page_count,numeric_token_mismatch;low_page_sequence_alignment,12
