sample_id,category,complexity_band,reference_pages,family,severity,variant,expectation,status,failed_gates,review_flags,diagnostic_flags,content,token_precision,token_recall,numeric_exact,layout,layout_coverage_min,typography,appearance_proxy,appearance_local_q10,nontext_applicable,nontext_score,pagination,table_applicable,table_count_exact,table_row_exact_rate,table_column_exact_rate,formula_applicable,formula_character_recall,formula_character_f1
01_prose_sections_014,01_prose_sections,medium,1,identity_clone,0,producer_clone,no_flags,pass,,,,1.0,1.0,1.0,True,0.9999999999999999,1.0,1.0,1.0,1.0,False,,1.0,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,translation,1,translate_1pt,no_hard_failure,pass,,,,1.0,1.0,1.0,True,0.9909841457409881,1.0,1.0,0.9743569898701199,1.0,False,,0.999796889003526,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,translation,4,translate_4pt,layout_monotonic,review,,appearance_layout_disagreement,localized_appearance_failure,1.0,1.0,1.0,True,0.965216424865536,1.0,1.0,0.6776529726322567,0.6478346688899241,False,,0.9981976964903443,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,translation,12,translate_12pt,layout_monotonic,review,,appearance_layout_disagreement,localized_appearance_failure,1.0,1.0,1.0,True,0.9050291533417473,1.0,1.0,0.5250346917144909,0.06454484337032833,False,,0.9759220261327761,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,word_deletion,0.01,delete_1pct_words,token_recall,pass,,,,0.9945304983014681,1.0,0.9904761904761905,True,0.9999999847906529,0.9904761904761905,1.0,0.9784567816303581,0.9610439374949641,False,,0.9948567839612843,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,word_deletion,0.05,delete_5pct_words,token_recall,pass,,,,0.9796189008454257,1.0,0.9619047619047619,True,0.9999999734342162,0.9619047619047619,1.0,0.9598928643705109,0.9241093405663989,False,,0.9807035145557907,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,word_deletion,0.15,delete_15pct_words,token_recall,fail,token_recall,,,0.8546368622236995,1.0,0.8857142857142857,True,0.9999998945746905,0.8857142857142857,1.0,0.8920442381649935,0.8505141560585031,False,,0.9400548555663648,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,word_addition,5,add_5_words,token_precision,pass,,,localized_appearance_failure,0.9857795924746517,0.9767441860465116,1.0,True,0.9999999999999999,0.9767441860465116,1.0,0.8975046018949329,0.30000000000000004,False,,0.9883379372998182,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,word_addition,20,add_20_words,token_precision,fail,token_precision,,localized_appearance_failure,0.9456346055691033,0.9130434782608695,1.0,True,0.9999999999999999,0.9130434782608695,1.0,0.7625003171335729,0.007297938332421091,False,,0.9557192130382868,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,numeric_change,1,change_one_number,numeric_token_mismatch,pass,,,numeric_token_mismatch,0.9979551818683872,1.0,0.9952380952380953,False,0.999999984863508,0.9952380952380953,1.0,0.9989867285025964,1.0,False,,0.9977705670858179,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,obstruction,0.15,obstruct_15pct_width,appearance_monotonic,pass,,,nontext_structure_mismatch,1.0,1.0,1.0,True,0.9999999999999999,1.0,1.0,0.9406158766883426,0.8687602148027084,True,0.0,0.998361644417495,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,obstruction,0.45,obstruct_45pct_width,appearance_monotonic,pass,,,nontext_structure_mismatch,1.0,1.0,1.0,True,0.9999999999999999,1.0,1.0,0.8462116045832229,0.7720829732065687,True,0.0,0.9961285922153673,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,crop,0.08,crop_bottom_8pct,appearance_monotonic,pass,,,numeric_token_mismatch,0.9980401869098268,1.0,0.9952380952380953,False,0.8309701439471215,0.9952380952380953,1.0,0.995860645372397,1.0,False,,0.9592027300317124,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,crop,0.2,crop_bottom_20pct,appearance_monotonic,review,,appearance_layout_disagreement,numeric_token_mismatch,0.9980401869098268,1.0,0.9952380952380953,False,0.6676576744827146,0.9952380952380953,1.0,0.995860645372397,1.0,False,,0.9530259293909145,False,,,,False,,
01_prose_sections_014,01_prose_sections,medium,1,extra_page,1,append_blank_page,page_count,fail,page_count,low_page_sequence_alignment;appearance_layout_disagreement,,1.0,1.0,1.0,True,0.9999999999999999,1.0,1.0,0.65,1.0,False,,0.5,False,,,,False,,
